#Al,,Mo,Zr,Sr,Se,Zn,Cu,Ni,Co,Fe,Ti,,Mo,Zr,Sr,Se,Zn,Cu,Ni,Co,Fe,Ti
0,0,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
1,5.3,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
2,10.6,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
3,15.9,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
4,21.2,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
5,26.5,6599,,,,,,,,,,,8.794673401,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
6,31.8,6363,,,,,,,,,,,8.758255243,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
8,42.4,6016,,,,,,,,,,,8.702177866,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
12,63.6,5305,,,,,,,,,,,8.576405051,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
16,84.8,4712,,,,,,,,,,,8.457867725,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Al d,,,,,,,,,,,,,,,,,,,,,,
5.3 mg/cm2,,,,,,,,,,,,,,,,,,,,,,
